,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,police,police
4,4,pensais,thought
5,5,aide,help
6,7,genre,kind
7,8,mois,month
8,9,frère,brother
9,10,car,because
10,11,mettre,to put
11,12,aucun,no
12,13,eux,them
13,14,ville,city
14,15,chaque,each
15,16,arrivé,come
16,17,devrait,should
17,18,bébé,baby
18,19,longtemps,long time
19,20,vont,will
20,21,pendant,while
21,22,revoir,meet again
22,23,aucune,any
23,24,place,square
24,25,parle,speak
25,26,compris,understood
26,27,savais,knew
27,28,attention,Warning
28,29,voici,here is
29,30,pourrais,could
30,31,donner,give
31,33,leurs,their
32,34,donné,given
33,35,train,train
34,36,corps,body
35,37,endroit,place
36,38,façon,way
37,39,dont,whose
38,40,trouve,find
39,41,premier,first
40,42,perdu,lost
41,44,première,first
42,45,côté,side
43,46,pouvoir,power
44,47,sois,be
45,48,tiens,here
46,49,matin,morning
47,50,tellement,so much
48,51,enfant,child
49,52,point,point
50,53,venu,came
51,54,suite,after
52,55,pardon,sorry
53,56,venez,come
54,57,devant,in front of
55,58,vers,towards
56,59,demandé,request
57,60,mis,placed
58,61,droit,law
59,62,aimerais,would like to
60,63,aujourd'hui,today
61,64,mari,husband
62,65,cause,cause
63,66,enfin,finally
64,67,espère,hope
65,68,eau,water
66,69,attendez,Wait
67,70,parti,left
68,71,nouvelle,new
69,72,boulot,job
70,74,dirait,would say
71,75,terre,Earth
72,77,donne,given
73,78,loin,far
74,79,fin,end
75,80,croire,believe
76,81,chérie,sweetheart
77,83,plutôt,rather
78,84,aura,will have
79,85,filles,girls
80,86,jouer,to play
81,87,bureau,office
